model,train_r2,test_r2,cv_r2_mean,cv_r2_std,test_rmse,test_mae,test_mape
lightgbm,0.9886674965621126,0.944735501342598,0.9416090345497874,0.0025207049345735365,17041494.449367452,11199421.632806903,15.651347316915457
xgboost,0.9971722364425659,0.9399269223213196,0.9383094549179077,0.007807218511867199,17767426.58379427,11583370.69125,16.28640992094016
random_forest,0.9850988957105662,0.9317822206907418,0.9292877430385035,0.0094096450349634,18933606.59344826,12602303.370505104,17.701037568318927
linear_regression,0.9194569289952611,0.9302473625418789,0.9150272799007599,0.008606814662985079,19145419.069526423,14893706.288750257,46.06340761914852
